Attributes,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close
Symbols,SPY,ACWX,VWO,EDV,TLT,TLH,IEI,SHY,LTPZ,TIP,STPZ,EWA,EWC,EWG,EWJ,EWU,RSX,MCHI,VXUS,VT,VTIP
Date,,,,,,,,,,,,,,,,,,,,,
2006-12-29,105.2626953125,,26.22199249267578,,56.633323669433594,,,65.29115295410156,,65.95069885253906,,11.933196067810059,18.6867618560791,18.974651336669922,45.12812805175781,26.18308448791504,,,,,
2007-01-03,105.076904296875,,26.394800186157227,,57.03683090209961,,,65.35649871826172,,66.23773193359375,,11.953513145446777,18.26609230041504,19.15098762512207,45.096370697021484,26.33967399597168,,,,,
2007-01-04,105.29986572265625,,26.106800079345703,,57.38264465332031,,,65.42184448242188,,66.28440856933594,,11.730082511901855,17.970882415771484,19.087507247924805,45.572731018066406,26.283756256103516,,,,,
2007-01-05,104.46000671386719,,25.378324508666992,,57.13283157348633,,,65.38101196289062,,66.09754180908203,,11.537117004394531,17.91183853149414,18.77008819580078,44.397674560546875,25.78043556213379,,,,,
2007-01-08,104.9431381225586,,25.65615463256836,,57.23533630371094,,,65.34016418457031,,66.14425659179688,,11.603134155273438,17.79375457763672,18.713659286499023,44.651756286621094,25.892292022705078,,,,,
2007-01-09,104.85392761230469,,25.042875289916992,,57.23533630371094,,,65.36467742919922,,66.09754180908203,,11.669144630432129,17.830656051635742,18.798303604125977,44.93757247924805,25.72452163696289,,,,,
2007-01-10,105.20325469970703,,24.971725463867188,,56.97917556762695,,,65.34834289550781,,65.93062591552734,,11.587902069091797,17.808515548706055,18.59374237060547,44.270652770996094,25.657411575317383,,,,,
2007-01-11,105.66414642333984,,25.303770065307617,,56.6461181640625,67.35343933105469,76.32041931152344,65.29931640625,,65.71034240722656,,11.694539070129395,17.889698028564453,18.763036727905273,44.048343658447266,26.004135131835938,,,,,
